(-0.681031, -0.868028, 145.52),  cut
(-0.64459, -0.853602, 147.44),  cut
(-0.645396, -0.870736, 145.52),  cut
(-0.655241, -0.886255, 146.80),  cut
(-0.650045, -0.894844, 146.48),  cut
(-0.869263, -0.733078, 146.80),  cut
(-0.614664, -0.898212, 146.48),  cut
(-0.897384, -0.523131, 122.60),  cut
(-0.897643, -0.523052, 122.85),  cut
(-0.897772, -0.523012, 122.89),  cut
(-0.898079, -0.522919, 122.92),  cut
(0.75, -0.75, 1.17),  cut
(-0.710334, -0.771081, 124.08),  cut
(-0.701535, -0.770954, 120.56),  reached
(-0.795152, -0.888924, 121.04),  cut
(0.75, -0.75, 1.17),  cut
(-0.823141, -0.854572, 116.08),  cut
(0.277634, 0.643261, 55.86),  cut
(0.277614, 0.643298, 55.82),  cut
(-0.550861, -0.720852, 112.40),  cut
(-0.543023, -0.722134, 109.04),  cut
(-0.534221, -0.712537, 110.80),  cut
(-0.521427, -0.712614, 109.20),  cut
(-0.51106, -0.704264, 110.80),  cut
(-0.49774, -0.704028, 109.20),  cut
(-0.487951, -0.695839, 110.80),  cut
(-0.474623, -0.695625, 109.20),  cut
(-0.470297, -0.689954, 110.64),  cut
(-0.457178, -0.68918, 109.20),  cut
(-0.447753, -0.681731, 110.64),  cut
(-0.435175, -0.681221, 109.20),  cut
(-0.425203, -0.673523, 110.64),  cut
(-0.412046, -0.672851, 109.20),  cut
(-0.400958, -0.664709, 110.64),  cut
(-0.38835, -0.664283, 109.20),  cut
(-0.378385, -0.656565, 110.64),  cut
(-0.365223, -0.655908, 109.20),  cut
(-0.355263, -0.648175, 110.64),  cut
(-0.346307, -0.638299, 109.20),  cut
(-0.332707, -0.639983, 110.64),  cut
(-0.324089, -0.629251, 109.20),  cut
(-0.309327, -0.6306, 110.64),  cut
(-0.297005, -0.629441, 109.20),  cut
(-0.287054, -0.621683, 110.64),  cut
(-0.274434, -0.621292, 109.20),  cut
(-0.263376, -0.613067, 110.64),  cut
(-0.250749, -0.612694, 109.20),  cut
(-0.240241, -0.604712, 110.64),  cut
(-0.227621, -0.60432, 109.20),  cut
(-0.210659, -0.621568, 110.64),  cut
(-0.198646, -0.621492, 109.20),  cut
(-0.19344, -0.61645, 110.64),  cut
(-0.180949, -0.618179, 109.20),  cut
(-0.170329, -0.612754, 110.64),  cut
(-0.229127, -0.50953, 109.20),  cut
(-0.220576, -0.505532, 110.64),  cut
(-0.234117, -0.489855, 109.20),  cut
(-0.232157, -0.477899, 110.64),  cut
