FileName,DetectedCount,Notes
front_camera_20260316_112230_710156.jpg,1,"Less than 40 tags: 1"
front_camera_20260316_112231_712986.jpg,1,"Less than 40 tags: 1"
front_camera_20260316_112232_810171.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112233_815741.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112234_910471.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112235_913014.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112237_010331.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112238_110373.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112239_115322.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112240_210740.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112241_309933.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112242_312948.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112243_412919.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112244_510228.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112245_513212.jpg,1,"Less than 40 tags: 1"
front_camera_20260316_112246_609947.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112247_610811.jpg,1,"Less than 40 tags: 1"
front_camera_20260316_112248_711761.jpg,2,"Less than 40 tags: 2"
front_camera_20260316_112249_810803.jpg,15,"Less than 40 tags: 15"
front_camera_20260316_112250_814961.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112251_910177.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112253_010568.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112254_015729.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112255_110220.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112256_209848.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112257_219515.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112258_319926.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112259_414318.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112300_414535.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112301_415319.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112302_514155.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112303_613192.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112304_614545.jpg,0,"Less than 40 tags: 0"
front_camera_20260316_112305_620377.jpg,0,"Less than 40 tags: 0"
