71.111,70.750,70.067,68.200,65.333,61.333,56.267,51.600,49.200,47.800,47.467,48.467,49.533,49.400,49.467,60.267,71.133,103.667,117.250,139.667
71.583,71.375,70.550,68.800,64.700,59.600,53.650,48.350,44.800,44.500,45.100,46.700,48.350,49.100,49.100,57.200,65.400,89.850,100.062,116.917
72.067,71.950,70.960,69.200,64.320,58.520,52.000,46.360,42.160,41.800,42.920,44.840,46.800,48.040,48.680,55.160,61.760,81.360,89.550,103.067
73.133,73.150,71.840,68.600,62.080,55.160,47.520,41.160,37.360,37.680,38.880,41.480,44.120,46.160,47.400,48.080,48.240,54.880,56.600,59.400
73.933,74.200,71.360,66.600,59.080,49.960,39.920,32.880,29.520,29.760,32.280,36.840,41.400,44.280,46.320,47.600,47.680,47.840,47.900,48.000
74.733,75.000,70.480,64.720,55.000,43.720,32.280,25.520,21.040,22.440,26.240,31.960,37.600,42.240,44.960,46.880,46.960,47.120,47.250,47.467
75.533,73.350,67.600,59.040,47.800,35.120,24.240,17.800,14.720,16.600,20.960,27.240,33.960,39.680,43.120,45.560,46.120,46.360,46.500,46.733
73.267,67.900,60.600,49.320,36.600,24.280,15.160,10.120,8.400,10.440,15.240,22.120,30.000,36.840,41.360,44.480,45.520,45.680,45.800,46.000
73.933,64.600,55.320,42.520,28.440,14.760,7.440,3.800,2.320,4.400,10.280,17.760,26.800,34.640,40.240,43.400,44.960,45.080,45.200,45.400
74.333,61.050,51.120,33.840,18.400,7.760,3.520,1.240,0,2.280,8.000,14.840,23.880,32.680,39.200,42.400,44.480,44.480,44.600,44.800
70.800,55.550,45.560,23.880,10.640,3.080,1.120,0,0,1.240,6.800,13.960,23.400,32.640,40.240,43.480,45.120,44.600,44.200,44.200
58.267,45.750,37.400,17.960,6.960,2.440,0.800,0,0,0.200,4.680,12.800,22.680,32.360,41.040,45.400,46.120,45.080,44.250,44.200
47.400,38.650,32.560,15.360,7.320,4.120,1.640,0,0.040,0.320,3.840,12.920,23.200,33.280,42.320,48.080,48.280,50.200,50.100,51.267
32.200,27.250,24.280,10.960,5.920,5.800,3.320,0.840,0.080,0.440,5.200,15.360,26.040,36.520,45.920,50.880,53.360,58.240,59.600,63.200
17.200,16.050,16.160,9.720,7.680,7.520,5.000,1.720,0.240,0.680,6.680,17.920,28.880,39.680,49.440,56.800,61.800,69.720,73.400,80.867
5.933,6.650,8.640,9.120,7.800,7.600,5.880,2.720,0.520,1.040,8.280,22.760,36.800,47.480,60.680,70.400,75.680,83.800,91.000,98.467
3.533,3.850,5.600,7.640,7.880,7.720,6.920,4.680,1.760,6.880,19.400,37.000,54.120,67.760,79.000,86.880,92.400,100.680,108.250,115.667
2.467,2.050,3.360,6.160,7.240,7.120,7.240,6.640,10.760,20.400,38.160,58.920,78.480,88.200,97.160,102.720,108.000,113.240,120.000,126.200
2.500,2.125,2.800,5.400,6.900,6.800,6.950,7.250,13.400,25.300,44.600,67.650,89.350,98.800,107.400,114.500,117.600,120.500,127.125,131.833
2.556,2.167,1.800,4.067,6.267,6.200,6.467,8.200,17.600,33.267,55.133,82.000,107.333,116.467,124.467,128.800,127.867,126.867,131.833,131.667
