0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.976,4.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.496,4.256,3.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.256,4.016,3.776,3.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.016,3.776,3.536,3.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.016,3.776,3.536,3.296,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.776,3.776,3.536,3.296,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.776,3.536,3.536,3.296,2.576,2.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
