(0.148230, 0.000000)
(0.145978, 0.043412)
(0.139290, 0.085505)
(0.128371, 0.125000)
(0.113550, 0.160697)
(0.095280, 0.191511)
(0.074115, 0.216506)
(0.050697, 0.234923)
(0.025740, 0.246202)
(0.000000, 0.250000)
(-0.043412, 0.246202)
(-0.085505, 0.234923)
(-0.125000, 0.216506)
(-0.160697, 0.191511)
(-0.191511, 0.160697)
(-0.216506, 0.125000)
(-0.234923, 0.085505)
(-0.246202, 0.043412)
(-0.250000, 0.000000)
(-0.246202, -0.043412)
(-0.234923, -0.085505)
(-0.216506, -0.125000)
(-0.191511, -0.160697)
(-0.160697, -0.191511)
(-0.125000, -0.216506)
(-0.085505, -0.234923)
(-0.043412, -0.246202)
(-0.000000, -0.250000)
(0.025740, -0.246202)
(0.050697, -0.234923)
(0.074115, -0.216506)
(0.095280, -0.191511)
(0.113550, -0.160697)
(0.128371, -0.125000)
(0.139290, -0.085505)
(0.145978, -0.043412)
